,อันดับ,รุ่นCPU,ราคา
0,1,ASRock B760M Steel Legend WiFi,"6,500.-"
1,2,ASUS Prime Z790-A WIFI-CSM,"12,325.-"
2,3,ASUS Z790-P Prime CSM D5,"10,500.-"
3,4,MSI PRO B760M-P D4,"4,790.-"
4,5,ASUS TUF Gaming B760M-Plus D4,"5,200.-"
5,6,ASUS Prime B660M-K D4,"3,690.-"
6,7,ASUS Prime B760M-K D4-CSM,"3,990.-"
7,8,ASUS Prime B760-Plus D4,"6,190.-"
8,9,ASUS Prime B660M-K D4 CSM,"3,690.-"
9,10,ASROCK B660M Pro RS DDR4,"3,975.-"
10,11,MSI A520M-A Pro,"2,090.-"
11,12,ASROCK B450M Steel Legend,"3,290.-"
12,13,ASUS H110M-K,0.-
13,14,GIGABYTE Z790 AORUS Elite,"9,210.-"
14,15,ASUS ROG Strix B760-A Gaming WIFI D4,"8,800.-"
15,16,ASRock B760M PG Riptide,"5,175.-"
16,17,ASRock B760M Pro RS,"4,965.-"
17,18,ASRock H510M-HDV/M.2,"2,090.-"
18,19,ASRock B760M PG Sonic WiFi,"7,090.-"
19,20,ASRock B760M Pro RS/D4,"4,790.-"
20,21,ASRock B760M Pro RS/D4 WiFi,"5,450.-"
21,22,ASUS ROG Maximus Z790 Apex,"27,390.-"
22,23,MSI B650M-A WIFI,"7,900.-"
23,24,MSI Pro Z790-A WIFI,"11,200.-"
24,25,ASUS ROG Strix Z690-F Gaming WIFI,"14,500.-"
25,26,MSI Pro H610M-B D4,"2,750.-"
26,27,ASROCK B660M Steel Legend DDR4,"5,150.-"
27,28,ASROCK B550 PG Riptide,"5,090.-"
28,29,GIGABYTE B660 Aorus Master DDR4,"6,875.-"
29,30,ASUS ROG Strix B660-G Gaming WIFI,"7,590.-"
30,31,GIGABYTE B660M DS3H,"3,690.-"
31,32,GIGABYTE H610M H,"2,610.-"
32,33,GIGABYTE H410M S2 V2,"2,050.-"
33,34,ASUS Prime B460I-Plus,"3,690.-"
34,35,GIGABYTE H410M H,"2,090.-"
35,36,GIGABYTE B460M DS3H,0.-
36,37,ASROCK Z370 Killer SLI/ac,"5,490.-"
37,38,ASROCK B250M Pro4,0.-
38,39,ASUS A68HM-K,0.-
39,40,MSI X99A GODLIKE GAMING,0.-
40,41,MSI X99S GAMING 7,0.-
41,42,ASUS H61M D,0.-
42,43,ASUS H97M-PLUS,0.-
43,44,BIOSTAR H61MGV3,0.-
44,45,GIGABYTE GA-Z87M-D3H,0.-
45,46,ASROCK 985GM-GS3 FX,0.-
46,47,INTEL INTEL DH61HO B/P,0.-
47,48,ASUS P8Z77-V LE PLUS,0.-
48,49,GIGABYTE Z790 AORUS Master,"20,790.-"
49,50,GIGABYTE Z790 Aero G,"12,600.-"
50,51,MSI Pro A620M-E,"3,190.-"
51,52,GIGABYTE A620M GAMING X,"4,160.-"
52,53,ASRock B650M-HDV/M.2,"5,565.-"
53,54,GIGABYTE B760M H DDR4,"3,500.-"
54,55,MSI B650M-A II,"6,590.-"
55,56,ASUS ROG Strix X670E-I Gaming WIFI,"19,000.-"
56,57,GIGABYTE A520M K,"2,090.-"
57,58,GIGABYTE H510M-K,"2,110.-"
58,59,ASUS Prime H770-Plus D4,"6,690.-"
59,60,ASUS Prime B760M-A D4 WIFI,"4,990.-"
60,61,ASROCK H610M-HDV-M.2 R2.0,"2,590.-"
61,62,MSI PRO B760-P WIFI D4,"6,590.-"
62,63,MSI PRO B760M-G D4,"4,590.-"
63,64,MSI PRO B760M-E D4,"3,890.-"
64,65,ASRock B760M-HDV/M.2 D4,"3,790.-"
65,66,ASROCK A520M-HVS,"1,950.-"
66,67,ASRock WRX80 Creator,"38,140.-"
67,68,ASUS Prime B560M-A,"3,130.-"
68,69,MSI PRO H610M-E DDR4,"2,385.-"
69,70,ASUS EX-B660M-V5 PRO D4,"3,265.-"
70,71,ASRock B650E Steel Legend WiFi,"11,100.-"
71,72,GIGABYTE B650M DS3H,"5,880.-"
72,73,GIGABYTE B650M AORUS Elite,"9,300.-"
73,74,GIGABYTE B650 Aero G,"8,825.-"
74,75,GIGABYTE B650E AORUS Master,"12,365.-"
75,76,ASUS TUF Gaming B650M-Plus WIFI,"7,940.-"
76,77,ASUS ROG Strix B650-A Gaming WIFI,"11,490.-"
77,78,ASRock X670E Pro RS,"12,100.-"
78,79,ASRock X670E Taichi,"20,215.-"
79,80,ASRock X670E Taichi Carrara,"21,250.-"
80,81,ASUS Prime X670-P-CSM,"7,780.-"
81,82,ASUS ROG Crosshair X670E Gene,"23,915.-"
82,83,ASUS ROG Crosshair X670E Hero,"27,150.-"
83,84,ASRock B650 LiveMixer,"9,300.-"
84,85,ASUS ROG Strix X670E-A Gaming WIFI,"16,465.-"
85,86,ASUS ROG Strix X670E-E Gaming WIFI,"21,090.-"
86,87,MSI B650-P WIFI,"8,590.-"
87,88,GIGABYTE Z790 Gaming X,"8,770.-"
88,89,GIGABYTE Z790 Gaming X,"9,075.-"
89,90,ASUS Prime H610M-E D4,"2,590.-"
90,91,GIGABYTE B650I Aorus Ultra,"12,400.-"
91,92,ASRock B660M Phantom Gaming 4,"3,650.-"
92,93,MSI MAG B650M Mortar WIFI,"9,500.-"
93,94,MSI B650M-P WIFI,"8,500.-"
94,95,GIGABYTE B650 Gaming X AX,"8,190.-"
95,96,GIGABYTE B650M AORUS Pro AX,"9,300.-"
96,97,ASRock B650 PG Lightning,"7,850.-"
97,98,ASRock B650 Pro RS,"8,050.-"
98,99,GIGABYTE B650 AORUS Elite,"8,300.-"
99,100,GIGABYTE B650 AORUS Elite AX,"10,000.-"
